BRANCH_ID,BRANCH_NAME,NUMBER_OF_HOLDS,TITLE,AUTHOR,WEB_LINK,DATE
EPLABB,Abbottsfield - Penny McKee Branch,4,The widow / Fiona Barton,BARTON FIONA,http://epl.bibliocommons.com/search?t=smart&q=the%20widow%20/,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,5,The high mountains of Portugal : a novel / Yann Martel,MARTEL YANN,http://epl.bibliocommons.com/search?t=smart&q=the%20high%20mountains,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,3,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],RIORDAN JANE,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,6,Private Paris / James Patterson and Mark Sullivan,PATTERSON JAMES,http://epl.bibliocommons.com/search?t=smart&q=private%20paris%20/,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,7,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kond? ; translated from the Japanese by Cathy Hirano,KOND MARIE,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,4,Old school / by Jeff Kinney,KINNEY JEFF,http://epl.bibliocommons.com/search?t=smart&q=old%20school%20/,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,4,The illegal : a novel / Lawrence Hill,HILL LAWRENCE,http://epl.bibliocommons.com/search?t=smart&q=the%20illegal%20%3A,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,4,Cometh the hour / Jeffrey Archer,ARCHER JEFFREY,http://epl.bibliocommons.com/search?t=smart&q=cometh%20the%20hour,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,5,Find her : a novel / Lisa Gardner,GARDNER LISA,http://epl.bibliocommons.com/search?t=smart&q=find%20her%20%3A,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,4,Property of a Noble Woman  / by Danielle  Steel,STEEL DANIELLE,http://epl.bibliocommons.com/search?t=smart&q=property%20of%20a,March 21 2016
EPLABB,Abbottsfield - Penny McKee Branch,4,Modern welding / by Andrew D. Althouse [and others],ALTHOUSE ANDREW D ANDREW DANIEL 001980,http://epl.bibliocommons.com/search?t=smart&q=modern%20welding%20/,March 14 2016
EPLABB,Abbottsfield - Penny McKee Branch,7,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kond? ; translated from the Japanese by Cathy Hirano,KOND MARIE,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic,March 14 2016
EPLABB,Abbottsfield - Penny McKee Branch,4,The high mountains of Portugal : a novel / Yann Martel,MARTEL YANN,http://epl.bibliocommons.com/search?t=smart&q=the%20high%20mountains,March 14 2016
EPLABB,Abbottsfield - Penny McKee Branch,4,Cometh the hour / Jeffrey Archer,ARCHER JEFFREY,http://epl.bibliocommons.com/search?t=smart&q=cometh%20the%20hour,March 14 2016
EPLABB,Abbottsfield - Penny McKee Branch,6,Private Paris / James Patterson and Mark Sullivan,PATTERSON JAMES,http://epl.bibliocommons.com/search?t=smart&q=private%20paris%20/,March 14 2016
EPLABB,Abbottsfield - Penny McKee Branch,3,Rogue lawyer / John Grisham,GRISHAM JOHN,http://epl.bibliocommons.com/search?t=smart&q=rogue%20lawyer%20/,March 14 2016
